<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.01	22:05:00	1.17440	1.17470	1.17440	1.17462	42	0	48
2026.01.01	22:10:00	1.17470	1.17485	1.17462	1.17470	58	0	48
2026.01.01	22:15:00	1.17470	1.17485	1.17465	1.17477	53	0	48
2026.01.01	22:20:00	1.17476	1.17480	1.17468	1.17471	41	0	48
2026.01.01	22:25:00	1.17471	1.17487	1.17463	1.17465	24	0	20
2026.01.01	22:30:00	1.17466	1.17476	1.17458	1.17476	18	0	20
2026.01.01	22:35:00	1.17476	1.17484	1.17459	1.17481	14	0	20
2026.01.01	22:40:00	1.17468	1.17484	1.17462	1.17477	26	0	20
2026.01.01	22:45:00	1.17478	1.17478	1.17473	1.17474	20	0	20
2026.01.01	22:50:00	1.17475	1.17477	1.17451	1.17470	45	0	20
2026.01.01	22:55:00	1.17470	1.17480	1.17466	1.17476	48	0	20
2026.01.01	23:00:00	1.17482	1.17492	1.17445	1.17473	156	0	8
2026.01.01	23:05:00	1.17474	1.17480	1.17461	1.17477	67	0	8
2026.01.01	23:10:00	1.17478	1.17481	1.17456	1.17461	72	0	8
2026.01.01	23:15:00	1.17461	1.17472	1.17456	1.17470	57	0	8
2026.01.01	23:20:00	1.17470	1.17485	1.17470	1.17485	43	0	8
2026.01.01	23:25:00	1.17485	1.17490	1.17468	1.17469	54	0	8
2026.01.01	23:30:00	1.17469	1.17487	1.17461	1.17483	47	0	8
2026.01.01	23:35:00	1.17482	1.17494	1.17478	1.17483	57	0	8
2026.01.01	23:40:00	1.17483	1.17494	1.17482	1.17494	52	0	8
2026.01.01	23:45:00	1.17494	1.17498	1.17481	1.17482	63	0	8
2026.01.01	23:50:00	1.17483	1.17495	1.17481	1.17495	53	0	8
2026.01.01	23:55:00	1.17494	1.17504	1.17491	1.17504	50	0	8
2026.01.02	00:00:00	1.17504	1.17508	1.17496	1.17503	77	0	8
2026.01.02	00:05:00	1.17502	1.17525	1.17495	1.17524	86	0	8
2026.01.02	00:10:00	1.17524	1.17530	1.17520	1.17524	80	0	8
2026.01.02	00:15:00	1.17525	1.17525	1.17511	1.17519	54	0	8
2026.01.02	00:20:00	1.17519	1.17521	1.17509	1.17515	64	0	8
2026.01.02	00:25:00	1.17515	1.17515	1.17510	1.17514	43	0	8
2026.01.02	00:30:00	1.17514	1.17526	1.17514	1.17516	62	0	8
2026.01.02	00:35:00	1.17516	1.17526	1.17511	1.17516	77	0	8
2026.01.02	00:40:00	1.17516	1.17521	1.17508	1.17521	57	0	8
2026.01.02	00:45:00	1.17521	1.17535	1.17517	1.17531	86	0	8
2026.01.02	00:50:00	1.17531	1.17547	1.17531	1.17543	83	0	8
2026.01.02	00:55:00	1.17543	1.17559	1.17541	1.17557	67	0	8
2026.01.02	01:00:00	1.17558	1.17587	1.17558	1.17581	148	0	8
2026.01.02	01:05:00	1.17581	1.17602	1.17571	1.17579	170	0	8
2026.01.02	01:10:00	1.17579	1.17579	1.17560	1.17563	99	0	8
2026.01.02	01:15:00	1.17565	1.17586	1.17564	1.17583	125	0	8
2026.01.02	01:20:00	1.17583	1.17588	1.17577	1.17584	81	0	8
2026.01.02	01:25:00	1.17584	1.17601	1.17577	1.17600	60	0	8
2026.01.02	01:30:00	1.17600	1.17613	1.17578	1.17581	107	0	8
2026.01.02	01:35:00	1.17581	1.17590	1.17577	1.17581	101	0	8
2026.01.02	01:40:00	1.17581	1.17599	1.17581	1.17596	52	0	8
2026.01.02	01:45:00	1.17597	1.17614	1.17587	1.17614	67	0	8
2026.01.02	01:50:00	1.17614	1.17624	1.17605	1.17608	86	0	8
2026.01.02	01:55:00	1.17607	1.17616	1.17603	1.17603	83	0	8
2026.01.02	02:00:00	1.17604	1.17625	1.17596	1.17625	75	0	8
2026.01.02	02:05:00	1.17625	1.17633	1.17619	1.17629	79	0	8
