<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.01	21:00:00	1.13466	1.13510	1.13452	1.13510	313	0	9
2025.06.01	22:00:00	1.13514	1.13572	1.13473	1.13548	1780	0	9
2025.06.01	23:00:00	1.13548	1.13601	1.13506	1.13527	1550	0	9
2025.06.02	00:00:00	1.13527	1.13744	1.13523	1.13681	2791	0	9
2025.06.02	01:00:00	1.13681	1.13816	1.13674	1.13700	3058	0	9
2025.06.02	02:00:00	1.13701	1.13735	1.13616	1.13641	1913	0	9
2025.06.02	03:00:00	1.13640	1.13656	1.13541	1.13612	1688	0	9
2025.06.02	04:00:00	1.13614	1.13665	1.13593	1.13650	1582	0	9
2025.06.02	05:00:00	1.13648	1.13800	1.13632	1.13792	1854	0	9
2025.06.02	06:00:00	1.13790	1.14066	1.13779	1.14006	3250	0	9
2025.06.02	07:00:00	1.14008	1.14365	1.13984	1.14234	4241	0	9
2025.06.02	08:00:00	1.14232	1.14272	1.14125	1.14198	3878	0	9
2025.06.02	09:00:00	1.14200	1.14367	1.14189	1.14230	3779	0	9
2025.06.02	10:00:00	1.14230	1.14277	1.14128	1.14148	2989	0	9
2025.06.02	11:00:00	1.14149	1.14260	1.14089	1.14140	3109	0	9
2025.06.02	12:00:00	1.14137	1.14287	1.14109	1.14176	3522	0	9
2025.06.02	13:00:00	1.14179	1.14225	1.14038	1.14185	4676	0	9
2025.06.02	14:00:00	1.14189	1.14495	1.14184	1.14345	6108	0	9
2025.06.02	15:00:00	1.14344	1.14383	1.14237	1.14301	4066	0	9
2025.06.02	16:00:00	1.14303	1.14316	1.14115	1.14181	3008	0	9
2025.06.02	17:00:00	1.14179	1.14257	1.14158	1.14222	2344	0	9
2025.06.02	18:00:00	1.14221	1.14421	1.14184	1.14409	2314	0	9
2025.06.02	19:00:00	1.14407	1.14450	1.14331	1.14446	1834	0	9
2025.06.02	20:00:00	1.14444	1.14461	1.14395	1.14413	844	0	9
2025.06.02	21:00:00	1.14412	1.14417	1.14313	1.14398	954	0	12
2025.06.02	22:00:00	1.14400	1.14456	1.14379	1.14447	764	0	9
2025.06.02	23:00:00	1.14447	1.14535	1.14443	1.14528	1128	0	9
2025.06.03	00:00:00	1.14527	1.14544	1.14384	1.14432	2024	0	9
2025.06.03	01:00:00	1.14430	1.14432	1.14266	1.14277	2813	0	9
2025.06.03	02:00:00	1.14280	1.14301	1.14185	1.14254	2275	0	9
2025.06.03	03:00:00	1.14253	1.14271	1.14155	1.14195	1859	0	9
2025.06.03	04:00:00	1.14195	1.14252	1.14166	1.14249	1441	0	9
2025.06.03	05:00:00	1.14248	1.14272	1.14118	1.14215	2055	0	9
2025.06.03	06:00:00	1.14218	1.14308	1.14151	1.14285	3198	0	9
2025.06.03	07:00:00	1.14284	1.14319	1.14137	1.14158	3810	0	9
2025.06.03	08:00:00	1.14157	1.14185	1.14052	1.14113	3242	0	9
2025.06.03	09:00:00	1.14114	1.14177	1.14014	1.14115	2999	0	9
2025.06.03	10:00:00	1.14117	1.14123	1.13960	1.13975	2847	0	9
2025.06.03	11:00:00	1.13976	1.13990	1.13861	1.13901	3095	0	9
2025.06.03	12:00:00	1.13904	1.13937	1.13767	1.13814	3439	0	9
2025.06.03	13:00:00	1.13816	1.13946	1.13765	1.13879	4456	0	9
2025.06.03	14:00:00	1.13875	1.13929	1.13634	1.13913	6306	0	9
2025.06.03	15:00:00	1.13914	1.13926	1.13702	1.13718	3662	0	9
2025.06.03	16:00:00	1.13720	1.13829	1.13671	1.13729	2629	0	9
2025.06.03	17:00:00	1.13731	1.13813	1.13723	1.13779	1884	0	9
2025.06.03	18:00:00	1.13777	1.13777	1.13686	1.13745	1601	0	9
