<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.01	22:00:00	1.34562	1.34654	1.34542	1.34622	899	0	56
2026.01.01	23:00:00	1.34620	1.34760	1.34620	1.34737	848	0	10
2026.01.02	00:00:00	1.34737	1.34826	1.34711	1.34812	1013	0	10
2026.01.02	01:00:00	1.34813	1.34873	1.34800	1.34869	1359	0	10
2026.01.02	02:00:00	1.34869	1.34907	1.34860	1.34879	1254	0	10
2026.01.02	03:00:00	1.34879	1.34898	1.34836	1.34863	970	0	10
2026.01.02	04:00:00	1.34863	1.34874	1.34774	1.34782	999	0	10
2026.01.02	05:00:00	1.34782	1.34807	1.34694	1.34709	970	0	10
2026.01.02	06:00:00	1.34707	1.34714	1.34629	1.34677	1317	0	10
2026.01.02	07:00:00	1.34674	1.34704	1.34572	1.34637	2370	0	10
2026.01.02	08:00:00	1.34634	1.34684	1.34488	1.34531	3800	0	10
2026.01.02	09:00:00	1.34529	1.34641	1.34500	1.34547	3039	0	10
2026.01.02	10:00:00	1.34548	1.34583	1.34437	1.34494	2740	0	10
2026.01.02	11:00:00	1.34493	1.34524	1.34339	1.34402	2586	0	10
2026.01.02	12:00:00	1.34399	1.34490	1.34356	1.34452	2558	0	10
2026.01.02	13:00:00	1.34456	1.34591	1.34416	1.34569	3258	0	10
2026.01.02	14:00:00	1.34567	1.34677	1.34526	1.34641	3645	0	10
2026.01.02	15:00:00	1.34639	1.35016	1.34637	1.34963	4486	0	10
2026.01.02	16:00:00	1.34963	1.34982	1.34727	1.34773	3553	0	10
2026.01.02	17:00:00	1.34774	1.34777	1.34609	1.34623	2503	0	10
2026.01.02	18:00:00	1.34623	1.34635	1.34459	1.34512	2341	0	10
2026.01.02	19:00:00	1.34512	1.34573	1.34470	1.34545	2230	0	10
2026.01.02	20:00:00	1.34546	1.34571	1.34491	1.34564	2118	0	10
2026.01.02	21:00:00	1.34561	1.34664	1.34555	1.34593	1552	0	10
2026.01.04	22:00:00	1.34485	1.34540	1.34407	1.34501	681	0	47
2026.01.04	23:00:00	1.34522	1.34564	1.34354	1.34378	1813	0	10
2026.01.05	00:00:00	1.34375	1.34476	1.34368	1.34427	2487	0	10
2026.01.05	01:00:00	1.34427	1.34485	1.34380	1.34399	3201	0	10
2026.01.05	02:00:00	1.34398	1.34424	1.34252	1.34307	2524	0	10
2026.01.05	03:00:00	1.34309	1.34356	1.34133	1.34154	2251	0	10
2026.01.05	04:00:00	1.34151	1.34276	1.34137	1.34252	1859	0	10
