<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	1.34420	1.34420	1.34353	1.34364	624	0	10
2025.10.01	00:15:00	1.34364	1.34427	1.34359	1.34412	496	0	10
2025.10.01	00:30:00	1.34411	1.34427	1.34389	1.34401	387	0	10
2025.10.01	00:45:00	1.34401	1.34439	1.34388	1.34403	349	0	10
2025.10.01	01:00:00	1.34403	1.34414	1.34343	1.34382	396	0	10
2025.10.01	01:15:00	1.34382	1.34418	1.34378	1.34407	325	0	10
2025.10.01	01:30:00	1.34408	1.34418	1.34372	1.34414	346	0	10
2025.10.01	01:45:00	1.34413	1.34420	1.34377	1.34415	279	0	10
2025.10.01	02:00:00	1.34415	1.34434	1.34382	1.34384	336	0	10
2025.10.01	02:15:00	1.34384	1.34429	1.34384	1.34404	320	0	10
2025.10.01	02:30:00	1.34404	1.34411	1.34345	1.34365	381	0	10
2025.10.01	02:45:00	1.34365	1.34422	1.34363	1.34408	329	0	10
2025.10.01	03:00:00	1.34411	1.34423	1.34382	1.34390	354	0	10
2025.10.01	03:15:00	1.34390	1.34399	1.34370	1.34393	292	0	10
2025.10.01	03:30:00	1.34393	1.34394	1.34353	1.34380	248	0	10
2025.10.01	03:45:00	1.34380	1.34420	1.34375	1.34403	305	0	10
2025.10.01	04:00:00	1.34403	1.34462	1.34403	1.34441	327	0	10
2025.10.01	04:15:00	1.34442	1.34474	1.34440	1.34469	295	0	10
2025.10.01	04:30:00	1.34470	1.34523	1.34470	1.34513	328	0	10
2025.10.01	04:45:00	1.34512	1.34638	1.34507	1.34626	432	0	10
2025.10.01	05:00:00	1.34628	1.34719	1.34590	1.34618	853	0	10
2025.10.01	05:15:00	1.34617	1.34664	1.34599	1.34619	500	0	10
2025.10.01	05:30:00	1.34619	1.34629	1.34597	1.34602	303	0	10
2025.10.01	05:45:00	1.34602	1.34605	1.34550	1.34553	418	0	10
2025.10.01	06:00:00	1.34553	1.34659	1.34546	1.34617	829	0	10
2025.10.01	06:15:00	1.34617	1.34674	1.34583	1.34670	774	0	10
2025.10.01	06:30:00	1.34667	1.34775	1.34650	1.34760	922	0	10
2025.10.01	06:45:00	1.34761	1.34772	1.34651	1.34656	1134	0	10
2025.10.01	07:00:00	1.34655	1.34769	1.34655	1.34742	1348	0	10
2025.10.01	07:15:00	1.34741	1.34772	1.34557	1.34574	1099	0	10
2025.10.01	07:30:00	1.34571	1.34661	1.34530	1.34591	1338	0	10
2025.10.01	07:45:00	1.34592	1.34700	1.34581	1.34667	1173	0	10
2025.10.01	08:00:00	1.34671	1.34729	1.34659	1.34679	1152	0	10
2025.10.01	08:15:00	1.34680	1.34764	1.34669	1.34714	1089	0	10
2025.10.01	08:30:00	1.34713	1.34799	1.34693	1.34747	963	0	10
2025.10.01	08:45:00	1.34749	1.34763	1.34662	1.34670	760	0	10
2025.10.01	09:00:00	1.34668	1.34734	1.34662	1.34709	685	0	10
2025.10.01	09:15:00	1.34710	1.34718	1.34654	1.34702	656	0	10
2025.10.01	09:30:00	1.34702	1.34748	1.34659	1.34723	821	0	10
2025.10.01	09:45:00	1.34721	1.34745	1.34619	1.34643	852	0	10
2025.10.01	10:00:00	1.34639	1.34677	1.34612	1.34671	885	0	10
2025.10.01	10:15:00	1.34667	1.34685	1.34589	1.34597	915	0	10
2025.10.01	10:30:00	1.34599	1.34723	1.34572	1.34703	748	0	10
2025.10.01	10:45:00	1.34705	1.34759	1.34680	1.34709	699	0	10
2025.10.01	11:00:00	1.34708	1.34807	1.34700	1.34780	827	0	10
2025.10.01	11:15:00	1.34780	1.34851	1.34780	1.34841	672	0	10
2025.10.01	11:30:00	1.34839	1.34865	1.34808	1.34851	654	0	10
2025.10.01	11:45:00	1.34852	1.34881	1.34797	1.34819	632	0	10
2025.10.01	12:00:00	1.34815	1.34836	1.34690	1.34742	974	0	10
2025.10.01	12:15:00	1.34743	1.35189	1.34718	1.35008	3590	0	10
2025.10.01	12:30:00	1.35007	1.35178	1.35000	1.35175	2672	0	10
2025.10.01	12:45:00	1.35174	1.35214	1.35066	1.35120	1803	0	10
2025.10.01	13:00:00	1.35122	1.35199	1.35071	1.35135	1444	0	10
2025.10.01	13:15:00	1.35134	1.35177	1.35060	1.35162	1256	0	10
2025.10.01	13:30:00	1.35161	1.35272	1.35156	1.35250	1238	0	10
2025.10.01	13:45:00	1.35247	1.35262	1.35107	1.35167	1180	0	10
2025.10.01	14:00:00	1.35164	1.35240	1.34974	1.34974	1832	0	10
2025.10.01	14:15:00	1.34973	1.35052	1.34923	1.35018	1270	0	10
2025.10.01	14:30:00	1.35018	1.35139	1.35014	1.35119	1128	0	10
2025.10.01	14:45:00	1.35119	1.35187	1.34932	1.35063	3884	0	10
2025.10.01	15:00:00	1.35060	1.35077	1.34825	1.34845	1789	0	10
