<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.01	22:00:00	74.308	74.319	74.260	74.268	115	0	2
2025.06.01	23:00:00	74.265	74.274	74.218	74.247	183	0	2
2025.06.02	00:00:00	74.247	74.247	74.116	74.137	332	0	2
2025.06.02	01:00:00	74.133	74.152	74.042	74.128	419	0	2
2025.06.02	02:00:00	74.132	74.158	74.094	74.151	228	0	2
2025.06.02	03:00:00	74.154	74.220	74.140	74.167	225	0	2
2025.06.02	04:00:00	74.163	74.175	74.126	74.134	187	0	2
2025.06.02	05:00:00	74.130	74.136	74.052	74.065	246	0	2
2025.06.02	06:00:00	74.069	74.079	73.887	73.902	494	0	2
2025.06.02	07:00:00	73.906	73.914	73.759	73.809	720	0	2
2025.06.02	08:00:00	73.805	73.862	73.788	73.837	596	0	2
2025.06.02	09:00:00	73.834	73.852	73.770	73.848	550	0	2
2025.06.02	10:00:00	73.851	73.905	73.824	73.905	375	0	2
2025.06.02	11:00:00	73.902	73.923	73.840	73.875	408	0	2
2025.06.02	12:00:00	73.872	73.900	73.796	73.841	464	0	2
2025.06.02	13:00:00	73.838	73.970	73.833	73.912	646	0	2
2025.06.02	14:00:00	73.909	73.909	73.747	73.784	986	0	2
2025.06.02	15:00:00	73.787	73.830	73.769	73.813	579	0	2
2025.06.02	16:00:00	73.810	73.966	73.806	73.950	436	0	2
2025.06.02	17:00:00	73.953	73.976	73.921	73.956	295	0	2
2025.06.02	18:00:00	73.959	73.978	73.847	73.850	257	0	2
2025.06.02	19:00:00	73.853	73.879	73.809	73.819	199	0	2
2025.06.02	20:00:00	73.822	73.832	73.802	73.827	97	0	2
2025.06.02	21:00:00	73.824	73.835	73.817	73.832	55	0	9
2025.06.02	22:00:00	73.832	73.858	73.807	73.807	110	0	2
2025.06.02	23:00:00	73.804	73.816	73.750	73.761	153	0	2
2025.06.03	00:00:00	73.758	73.822	73.758	73.812	227	0	2
