<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.01	22:00:00	74.308	74.308	74.272	74.272	17	0	6
2025.06.01	22:15:00	74.270	74.307	74.270	74.302	28	0	3
2025.06.01	22:30:00	74.303	74.319	74.295	74.307	32	0	2
2025.06.01	22:45:00	74.302	74.302	74.260	74.268	38	0	2
2025.06.01	23:00:00	74.265	74.274	74.245	74.253	42	0	2
2025.06.01	23:15:00	74.252	74.263	74.247	74.250	37	0	2
2025.06.01	23:30:00	74.247	74.257	74.231	74.234	55	0	2
2025.06.01	23:45:00	74.230	74.261	74.218	74.247	49	0	2
2025.06.02	00:00:00	74.247	74.247	74.134	74.137	92	0	2
2025.06.02	00:15:00	74.140	74.140	74.123	74.130	58	0	2
2025.06.02	00:30:00	74.127	74.170	74.127	74.163	94	0	2
2025.06.02	00:45:00	74.159	74.173	74.116	74.137	88	0	2
2025.06.02	01:00:00	74.133	74.152	74.105	74.108	96	0	2
2025.06.02	01:15:00	74.105	74.111	74.046	74.046	105	0	2
2025.06.02	01:30:00	74.049	74.092	74.042	74.074	116	0	2
2025.06.02	01:45:00	74.070	74.128	74.063	74.128	102	0	2
2025.06.02	02:00:00	74.132	74.139	74.097	74.117	85	0	2
2025.06.02	02:15:00	74.113	74.135	74.104	74.129	46	0	2
2025.06.02	02:30:00	74.125	74.125	74.094	74.119	53	0	2
2025.06.02	02:45:00	74.119	74.158	74.116	74.151	44	0	2
2025.06.02	03:00:00	74.154	74.189	74.140	74.186	72	0	2
2025.06.02	03:15:00	74.182	74.194	74.159	74.191	50	0	2
2025.06.02	03:30:00	74.194	74.220	74.194	74.198	54	0	2
2025.06.02	03:45:00	74.194	74.203	74.167	74.167	49	0	2
2025.06.02	04:00:00	74.163	74.175	74.156	74.162	57	0	2
2025.06.02	04:15:00	74.162	74.168	74.138	74.138	40	0	2
2025.06.02	04:30:00	74.134	74.151	74.134	74.141	44	0	2
2025.06.02	04:45:00	74.144	74.153	74.126	74.134	46	0	2
2025.06.02	05:00:00	74.130	74.136	74.097	74.103	59	0	2
2025.06.02	05:15:00	74.100	74.120	74.099	74.109	44	0	2
2025.06.02	05:30:00	74.108	74.126	74.074	74.076	48	0	2
2025.06.02	05:45:00	74.072	74.090	74.052	74.065	95	0	2
2025.06.02	06:00:00	74.069	74.079	74.043	74.049	90	0	2
2025.06.02	06:15:00	74.052	74.055	73.971	73.984	132	0	2
2025.06.02	06:30:00	73.981	73.985	73.889	73.893	144	0	2
2025.06.02	06:45:00	73.896	73.930	73.887	73.902	128	0	2
2025.06.02	07:00:00	73.906	73.914	73.820	73.831	166	0	2
2025.06.02	07:15:00	73.828	73.835	73.798	73.825	171	0	2
2025.06.02	07:30:00	73.829	73.849	73.794	73.801	150	0	2
2025.06.02	07:45:00	73.804	73.826	73.759	73.809	233	0	2
2025.06.02	08:00:00	73.805	73.828	73.788	73.809	153	0	2
2025.06.02	08:15:00	73.806	73.845	73.788	73.831	138	0	2
2025.06.02	08:30:00	73.828	73.855	73.811	73.852	155	0	2
2025.06.02	08:45:00	73.855	73.862	73.818	73.837	150	0	2
2025.06.02	09:00:00	73.834	73.841	73.787	73.792	158	0	2
2025.06.02	09:15:00	73.796	73.811	73.770	73.811	127	0	2
2025.06.02	09:30:00	73.808	73.823	73.786	73.821	137	0	2
2025.06.02	09:45:00	73.818	73.852	73.808	73.848	128	0	2
2025.06.02	10:00:00	73.851	73.879	73.845	73.875	111	0	2
2025.06.02	10:15:00	73.872	73.884	73.824	73.856	86	0	2
2025.06.02	10:30:00	73.860	73.892	73.855	73.872	84	0	2
2025.06.02	10:45:00	73.869	73.905	73.849	73.905	94	0	2
2025.06.02	11:00:00	73.902	73.923	73.861	73.889	122	0	2
2025.06.02	11:15:00	73.886	73.886	73.840	73.850	87	0	2
2025.06.02	11:30:00	73.853	73.892	73.853	73.883	85	0	2
2025.06.02	11:45:00	73.887	73.922	73.867	73.875	114	0	2
2025.06.02	12:00:00	73.872	73.887	73.831	73.876	142	0	2
2025.06.02	12:15:00	73.873	73.900	73.838	73.838	91	0	2
2025.06.02	12:30:00	73.834	73.835	73.796	73.827	110	0	2
2025.06.02	12:45:00	73.830	73.861	73.808	73.841	121	0	2
2025.06.02	13:00:00	73.838	73.893	73.833	73.890	125	0	2
2025.06.02	13:15:00	73.886	73.963	73.883	73.949	149	0	2
2025.06.02	13:30:00	73.953	73.970	73.932	73.940	188	0	2
2025.06.02	13:45:00	73.936	73.968	73.903	73.912	184	0	2
2025.06.02	14:00:00	73.909	73.909	73.780	73.790	385	0	2
2025.06.02	14:15:00	73.787	73.827	73.754	73.793	194	0	2
2025.06.02	14:30:00	73.789	73.792	73.747	73.759	216	0	2
2025.06.02	14:45:00	73.763	73.793	73.748	73.784	191	0	2
2025.06.02	15:00:00	73.787	73.812	73.769	73.784	180	0	2
2025.06.02	15:15:00	73.780	73.801	73.775	73.797	143	0	2
2025.06.02	15:30:00	73.793	73.830	73.772	73.773	143	0	2
2025.06.02	15:45:00	73.776	73.813	73.771	73.813	113	0	2
2025.06.02	16:00:00	73.810	73.868	73.806	73.852	153	0	2
2025.06.02	16:15:00	73.855	73.896	73.851	73.891	92	0	2
2025.06.02	16:30:00	73.893	73.959	73.875	73.942	107	0	2
2025.06.02	16:45:00	73.938	73.966	73.927	73.950	84	0	2
2025.06.02	17:00:00	73.953	73.964	73.921	73.940	97	0	2
2025.06.02	17:15:00	73.937	73.976	73.934	73.971	54	0	2
2025.06.02	17:30:00	73.974	73.974	73.939	73.957	72	0	2
2025.06.02	17:45:00	73.953	73.956	73.930	73.956	72	0	2
2025.06.02	18:00:00	73.959	73.978	73.948	73.960	70	0	2
2025.06.02	18:15:00	73.964	73.967	73.933	73.933	57	0	2
2025.06.02	18:30:00	73.934	73.937	73.895	73.895	62	0	2
2025.06.02	18:45:00	73.899	73.899	73.847	73.850	68	0	2
2025.06.02	19:00:00	73.853	73.879	73.840	73.844	78	0	2
2025.06.02	19:15:00	73.840	73.851	73.821	73.832	42	0	2
2025.06.02	19:30:00	73.836	73.853	73.813	73.821	37	0	2
2025.06.02	19:45:00	73.818	73.828	73.809	73.819	42	0	2
2025.06.02	20:00:00	73.822	73.829	73.812	73.812	25	0	2
2025.06.02	20:15:00	73.812	73.816	73.802	73.802	20	0	2
2025.06.02	20:30:00	73.806	73.822	73.806	73.818	21	0	2
2025.06.02	20:45:00	73.815	73.832	73.812	73.827	31	0	2
2025.06.02	21:00:00	73.824	73.826	73.820	73.820	13	0	10
2025.06.02	21:15:00	73.822	73.823	73.817	73.823	14	0	20
2025.06.02	21:30:00	73.823	73.828	73.820	73.827	14	0	18
2025.06.02	21:45:00	73.830	73.835	73.821	73.832	14	0	9
2025.06.02	22:00:00	73.832	73.858	73.830	73.844	36	0	2
2025.06.02	22:15:00	73.841	73.841	73.811	73.823	29	0	2
2025.06.02	22:30:00	73.820	73.827	73.818	73.827	18	0	2
2025.06.02	22:45:00	73.828	73.831	73.807	73.807	27	0	2
2025.06.02	23:00:00	73.804	73.816	73.786	73.787	29	0	2
2025.06.02	23:15:00	73.783	73.794	73.777	73.786	44	0	2
2025.06.02	23:30:00	73.789	73.790	73.752	73.752	44	0	2
2025.06.02	23:45:00	73.756	73.772	73.750	73.761	36	0	2
2025.06.03	00:00:00	73.758	73.816	73.758	73.805	62	0	2
2025.06.03	00:15:00	73.809	73.821	73.806	73.813	55	0	2
2025.06.03	00:30:00	73.810	73.812	73.787	73.797	51	0	2
2025.06.03	00:45:00	73.799	73.822	73.796	73.812	59	0	2
2025.06.03	01:00:00	73.815	73.853	73.811	73.853	73	0	2
2025.06.03	01:15:00	73.856	73.900	73.856	73.890	95	0	2
2025.06.03	01:30:00	73.886	73.900	73.860	73.869	102	0	2
2025.06.03	01:45:00	73.873	73.898	73.870	73.890	85	0	2
2025.06.03	02:00:00	73.893	73.930	73.893	73.911	72	0	2
2025.06.03	02:15:00	73.908	73.927	73.905	73.920	58	0	2
2025.06.03	02:30:00	73.923	73.968	73.920	73.951	73	0	2
